Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010027885,7.90500021,249.6407928,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028988289,10.80000019,239.2221985,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020600554,12.10000038,147.5733948,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.075868845,15.5,261.7568054,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.079419754,20.70000076,99.80419922,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030311951,8,247.4091949,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030742083,19.5,85.55400085,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.029768869,14,145.4786072,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,194.2794037,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066833742,11.30000019,257.2962036,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077284567,11.60000038,172.4105988,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.099425547,16,87.08560181,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012477512,10.19499969,197.1109924,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026643448,13.64999962,37.95320129,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027386121,9.600000381,259.2304077,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011443222,10.69499969,73.50379944,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058207113,12.30000019,59.15620041,5
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.009893817,11.39500046,50.30339813,5
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.186148271,12.35000038,78.23280334,5
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.114294514,20.70000076,94.94360352,5
Low Fat,NCQ38,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.023402894,12.85764534,108.2279968,5
Low Fat,FDK02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.196490899,12.85764534,120.5439987,5
Low Fat,FDI15,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.247490093,12.85764534,263.188385,5
Low Fat,FDE09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.037824735,12.85764534,109.7228012,5
Low Fat,FDS55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.142107993,12.85764534,150.3733978,5
Low Fat,FDZ56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.045062128,12.85764534,167.5473938,5
Low Fat,NCA05,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.044000491,12.85764534,148.273407,5
Low Fat,NCK29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0,12.85764534,123.4729996,5
Low Fat,NCU29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.044607721,12.85764534,145.9759979,5
Low Fat,NCX41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.031024167,12.85764534,210.5243988,5
Low Fat,NCG07,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.09192431,12.85764534,189.753006,5
Low Fat,NCI30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.103188492,12.85764534,244.345993,5
Low Fat,NCR54,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.158562705,12.85764534,194.7109985,5
Low Fat,NCT06,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.067824453,12.85764534,167.7841949,5
Low Fat,FDN15,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.029299175,12.85764534,140.3179932,5
Low Fat,FDJ45,Seafood,1998,OUT019,Tier 1,Small,Grocery Store,0.128532559,12.85764534,34.22159958,5
Regular,FDL13,Breakfast,1998,OUT019,Tier 1,Small,Grocery Store,0.098606542,12.85764534,232.7299957,5
Regular,FDL02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.182236552,12.85764534,107.1622009,5
Regular,FDF56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.209162936,12.85764534,179.1976013,5
Regular,FDQ27,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.077480629,12.85764534,101.3990021,5
Regular,FDG35,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.012327847,12.85764534,173.8737946,5
Regular,FDD38,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.014342659,12.85764534,103.7674026,5
Regular,FDE41,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0,12.85764534,83.75659943,5
Low Fat,FDP24,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.08300408,20.60000038,119.4756012,5
Low Fat,FDH38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.01043823,6.425000191,115.8807983,5
Low Fat,FDT49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.151405588,7,107.7279968,5
Low Fat,FDN02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.073827751,16.5,208.8638,5
Low Fat,DRF27,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.028417272,8.930000305,154.5339966,5
Low Fat,FDT02,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02419473,12.60000038,36.18740082,5
Low Fat,FDF05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.02687089,17.5,264.4909973,5
Low Fat,FDI45,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.10000038,175.5054016,5
Low Fat,FDZ20,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.034306962,16.10000038,252.3356018,5
Low Fat,NCC42,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.044908404,15,140.2837982,5
Low Fat,NCQ53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.018905327,17.60000038,234.6589966,5
Low Fat,NCR54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.090562195,16.35000038,198.2109985,5
Low Fat,NCX06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.015687045,17.60000038,182.6976013,5
Low Fat,NCO06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.108030431,19.25,32.4557991,5
Low Fat,NCN54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021326471,20.35000038,76.13279724,5
Low Fat,FDL27,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.010630949,6.170000076,65.98259735,5
Low Fat,FDV51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.032538895,16.35000038,165.7841949,5
Low Fat,FDC46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.116542481,17.70000076,182.6266022,5
Low Fat,FDZ58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.052176859,17.85000038,122.8071976,5
Low Fat,FDN21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.07685563,18.60000038,161.0236053,5
Low Fat,FDO58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.039577171,19.60000038,166.1526031,5
Low Fat,DRD24,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.030795084,13.85000038,143.3153992,5
Low Fat,DRI37,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.10759788,15.85000038,58.79040146,5
Regular,FDI12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.100398943,9.395000458,89.68560028,5
Regular,FDP12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.045266807,9.800000191,36.98740005,5
Regular,FDO01,Breakfast,2010,OUT046,Tier 1,Small,Supermarket Type1,0.020718655,21.10000038,130.4994049,5
Regular,FDZ37,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.019768503,8.100000381,88.61979675,5
Regular,FDJ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.023322478,11.35000038,182.5608063,5
Regular,FDM04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.047120608,9.194999695,53.16659927,5
Regular,FDI40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.125602946,11.5,100.8358002,5
Regular,FDX04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.041571558,19.60000038,49.93759918,5
Regular,FDS15,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.078060605,9.194999695,106.3595963,5
Regular,FDJ57,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021573644,7.420000076,184.6582031,5
Regular,FDG21,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.146299899,17.35000038,150.4049988,5
Regular,FDW21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.005963881,5.340000153,99.53579712,5
Regular,FDX10,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.123710528,6.385000229,37.18740082,5
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,171.5764008,5
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.14999962,39.15060043,5
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.073697716,15.35000038,91.91200256,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.075701527,12,124.6388016,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.113497138,14.10000038,56.1955986,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420032,8.06000042,232.0325928,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.089859642,14.10000038,140.2496033,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12430197,19.20000076,89.74880219,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.058220301,13.80000019,247.4801941,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563676,9.06499958,96.00939941,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.127800375,14.30000019,83.62239838,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043651197,5.980000019,146.1417999,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041479398,10.5,36.81639862,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657458,13.10000038,175.8054047,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072444983,14.69999981,48.60340118,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015591925,17.5,184.8265991,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.096929997,19.10000038,233.8957977,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045761853,19.85000038,125.6019974,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024432767,9.800000191,116.4492035,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041950755,10.80000019,190.0213928,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.058855359,11.80000019,79.16179657,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937792,5.880000114,148.4391937,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.10545931,6.775000095,84.625,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07071203,8.420000076,216.4192047,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021468792,10,251.6750031,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.17762953,19.10000038,173.9421997,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433033,19.75,104.2332001,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033246521,12.85000038,172.4421997,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041028935,16,142.6495972,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.8529968,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.051906519,5.730000019,188.1898041,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.067592099,7.809999943,246.0485992,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.081050009,14.35000038,79.19599915,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210375,6.465000153,266.8883972,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137270004,15.85000038,94.40940094,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005264755,19.85000038,264.5884094,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032811504,7.5,239.6905975,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984639,12.30000019,191.2162018,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03951712,18.60000038,243.6802063,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052274693,7.71999979,79.19860077,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04674707,8.18500042,49.96920013,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020664178,16.35000038,50.83240128,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.041065648,9.5,223.5088043,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921926,12.10000038,178.3659973,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500984,16.60000038,173.3421936,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.030527165,5.175000191,33.58739853,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048388422,5.400000095,163.052597,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.39500046,149.2707977,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.052335281,18.75,108.1279984,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006012413,6.360000134,163.052597,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741173,14.60000038,179.6976013,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059268884,20.25,246.4459991,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.027052013,20.70000076,73.93540192,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.033275634,19.35000038,173.8737946,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01005532,21.25,183.1607971,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.012167988,13.10000038,190.253006,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.11193119,17.75,108.8911972,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.092282355,15.19999981,227.235199,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.012679191,18.20000076,139.8179932,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.048160825,18.60000038,188.9898071,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.032242659,5.460000038,187.6239929,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.030905215,8.420000076,227.6351929,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330906,14,52.36399841,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.012036432,17.20000076,165.718399,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.063354529,11.35000038,88.98560333,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.029782938,14,146.3786011,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.051596928,20,128.0677948,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.054565933,20.10000038,152.2366028,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.014394261,7.349999905,241.3511963,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.053692877,10.10000038,222.9087982,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.061301149,5.150000095,122.1388016,5
